Player,Team,Pos,Ast,Total,Comb,Sack,Ydsl,PD,Int,Yds,Long,TD,FF,Rec,TD
Kevin Byard,TEN,S,17,34,51,0,0,12,6,100,33,0,0,1,0
Micah Hyde,BUF,S,7,36,43,0,0,8,5,64,37,0,0,0,0
Darius Slay,DET,CB,3,29,32,0,0,13,4,52,37,0,0,0,0
Antoine Bethea,ARI,S,5,33,38,1,8,6,3,37,21,0,0,0,0
Eric Weddle,BAL,S,9,31,40,0,0,5,3,24,22,0,1,0,0
Brandon Carr,BAL,CB,5,27,32,0,0,7,3,57,33,0,0,0,0
Jason McCourty,CLE,CB,6,21,27,0,0,9,3,59,56,1,2,0,0
Glover Quin,DET,S,14,32,46,0,0,5,3,62,37,1,2,1,0
Patrick Robinson,PHI,CB,5,24,29,0,0,11,3,17,17,0,0,0,0
Mark Barron,LAR,LB,7,56,63,1,2,4,3,29,15,0,0,0,0
Harrison Smith,MIN,S,11,40,51,1.5,10,6,3,25,19,0,0,0,0
Tashaun Gipson,JAX,S,6,33,39,0,0,5,3,76,67,0,0,1,0
Kenny Vaccaro,NO,S,9,30,39,0.5,5,7,3,41,30,0,0,1,1
A.J. Bouye,JAX,CB,2,28,30,0,0,11,3,70,51,0,0,0,0
Ryan Shazier,PIT,LB,14,55,69,0,0,10,3,2,2,0,2,1,0
Tre Boston,LAC,S,15,33,48,0,0,6,3,15,15,0,0,0,0
Marcus Peters,KC,CB,1,24,25,0,0,5,3,63,38,0,2,1,1
Jalen Mills,PHI,CB,9,34,43,0,0,10,3,53,37,1,0,0,0
Damarious Randall,GB,CB,5,27,32,0,0,4,3,35,21,1,0,1,0
Kendall Fuller,WSH,CB,7,23,30,0,0,5,3,3,3,0,1,0,0
Malik Hooker,IND,S,6,16,22,0,0,4,3,73,32,0,0,0,0
Mike Adams,CAR,S,11,26,37,0,0,5,2,42,40,0,0,0,0
Johnathan Joseph,HOU,CB,7,22,29,0,0,6,2,85,82,1,0,0,0
Brent Grimes,TB,CB,1,26,27,0,0,6,2,67,39,0,0,0,0
Lardarius Webb,BAL,S,1,28,29,2,13,4,2,10,10,0,1,0,0
Earl Thomas,SEA,S,14,24,38,0,0,5,2,97,78,1,1,0,0
Reshad Jones,MIA,S,8,47,55,0.5,5,3,2,15,15,0,0,2,1
Jimmy Smith,BAL,CB,2,21,23,0,0,8,2,58,50,1,0,1,1
Richard Sherman,SEA,CB,10,25,35,0,0,7,2,20,19,0,0,0,0
Luke Kuechly,CAR,LB,27,38,65,0,0,3,2,23,23,0,1,0,0
Trumaine Johnson,LAR,CB,4,33,37,0,0,8,2,39,39,1,1,1,0
Rodney McLeod,PHI,S,7,16,23,0,0,5,2,54,50,0,1,0,0
D.J. Swearinger,WSH,S,10,31,41,0.5,3,6,2,32,31,0,0,0,0
Jordan Poyer,BUF,S,15,35,50,2,18,7,2,13,13,0,0,1,0
Nickell Robey-Coleman,LAR,CB,8,21,29,0,0,5,2,56,31,0,1,1,0
Rashaan Melvin,IND,CB,6,30,36,0,0,12,2,28,21,0,0,0,0
Ray-Ray Armstrong,SF,LB,15,39,54,1,5,2,2,29,29,0,1,0,0
C.J. Mosley,BAL,LB,19,57,76,1,13,2,2,94,63,1,1,1,0
Terrence Brooks,NYJ,S,2,6,8,0,0,3,2,13,13,0,0,0,0
Lamarcus Joyner,LAR,S,6,19,25,0,0,4,2,58,29,1,0,0,0
Telvin Smith,JAX,LB,17,54,71,1,1,4,2,30,28,1,1,1,0
Terrance Mitchell,KC,CB,5,34,39,0,0,10,2,0,0,0,0,0,0
Malcolm Butler,NE,CB,3,32,35,0,0,8,2,-1,1,0,1,0,0
Andre Hal,HOU,S,17,24,41,0,0,4,2,3,3,0,1,0,0
Trae Waynes,MIN,CB,6,37,43,0,0,8,2,21,18,0,0,0,0
Marcus Maye,NYJ,S,13,36,49,0,0,2,2,44,32,0,1,0,0
Dylan Cole,HOU,LB,10,9,19,1,1,2,2,28,25,1,0,0,0
Jalen Ramsey,JAX,CB,4,26,30,0,0,13,2,16,15,0,0,0,0
Marshon Lattimore,NO,CB,5,31,36,0,0,8,2,52,27,1,1,0,0
Rasul Douglas,PHI,CB,1,17,18,0,0,9,2,7,7,0,0,0,0
Tramon Williams,ARI,CB,0,18,18,0,0,6,1,0,0,0,0,0,0
Karlos Dansby,ARI,LB,13,38,51,1,8,3,1,4,4,0,0,0,0
Corey Graham,PHI,S,2,15,17,0,0,3,1,14,14,0,0,0,0
William Gay,PIT,CB,2,10,12,0,0,3,1,-1,-1,0,1,0,0
